#{"t_start": 1783788819.1315625, "env_id": "LunarLander-v3"}
r,l,t
-96.099409,133,47.228137
-119.166979,159,47.377001
-158.945654,246,47.585488
-305.50119,181,49.06808
12.867088,150,49.21169
-264.709185,171,49.386678
-75.224795,163,49.542231
-74.443925,174,49.719411
-247.912367,182,49.91326
-198.48285,146,50.072274
-316.764962,174,50.241456
-79.62548,277,50.466314
-70.880007,88,50.542145
-55.415364,149,50.680491
-13.624541,151,50.814923
-23.928071,163,50.957658
-553.737631,261,52.664994
-155.685282,200,52.836827
23.588911,109,52.92264
-22.402504,125,53.022797
-261.547894,218,53.208693
-68.911128,197,53.37848
-67.144395,180,53.535853
-218.641091,164,53.668768
-58.501262,135,53.79284
-36.235631,119,53.90468
-259.868189,180,54.064707
-289.953221,291,55.603026
-74.878264,279,55.827859
-11.541225,175,55.996078
-30.12366,216,56.178431
-83.758292,131,56.291794
-148.855028,198,56.452457
-76.839572,178,56.636528
32.400739,162,56.786572
-87.557252,195,56.96127
-16.73195,255,57.169024
-51.731829,245,58.526321
-183.056209,183,58.684288
25.704053,337,58.984654
-96.172661,246,59.19529
-198.930082,367,59.503997
-2.679902,201,59.667094
-209.518146,230,59.872502
-42.837803,115,59.970037
-15.335835,140,60.101912
-155.362462,231,61.699897
-64.068924,178,61.871436
-6.541388,128,61.976844
58.074538,1000,62.894065
-87.575678,396,63.282834
18.432764,129,63.402599
44.848879,1000,65.568723
-19.671668,237,65.749567
-248.494972,248,65.984891
-273.376269,463,66.443352
60.459147,185,66.651927
-24.313062,235,68.200532
-102.522658,463,68.66707
-81.271045,339,68.983027
-35.486603,226,69.177749
-12.405031,115,69.279533
-119.849304,406,69.60576
-42.858589,279,69.81431
5.537917,1000,71.929637
-80.850345,183,72.093722
-239.1021,859,72.958339
-85.751547,1000,75.272253
16.394346,254,75.52122
14.18529,1000,77.957122
-38.217176,1000,78.998315
-211.642497,407,79.39433
-152.856236,863,81.526374
-14.618403,418,81.918694
-75.259134,755,82.618299
39.781007,1000,84.905475
58.587024,1000,85.978366
54.328782,1000,88.184482
-146.767602,1000,89.00964
-141.870298,1000,91.242045
38.606805,1000,92.119519
22.56936,1000,94.122411
-133.404026,778,94.745888
-79.453017,1000,96.610582
-60.163576,1000,97.456865
37.492918,1000,99.540061
220.344137,892,100.309548
-110.497666,1000,101.205587
23.103408,1000,103.313773
-141.049531,591,103.796241
-159.078978,828,105.79345
190.446966,785,106.54182
137.462223,844,107.229443
181.452479,903,109.001669
-66.802345,1000,109.620862
-79.218547,1000,111.344903
-5.471355,1000,112.115813
-96.981908,1000,114.167178
-38.413379,1000,115.0433
-18.510183,1000,116.869474
-46.293596,1000,117.562431
-29.095305,1000,119.260391
-50.47317,1000,120.024477
-51.069046,446,120.361929
-9.306605,1000,122.167809
22.681663,1000,123.119915
-144.653765,918,125.196598
131.185212,867,125.957863
176.846215,717,127.771432
128.589721,834,128.455886
12.770434,1000,130.483896
49.079675,1000,131.239513
183.114455,797,131.899857
161.699137,744,133.693932
154.163712,892,134.414629
-73.831899,655,136.399295
179.558137,572,136.904512
194.063764,598,137.413634
184.038547,683,138.018789
97.895377,1000,140.241326
-119.448266,728,140.896718
188.054262,735,142.713818
16.772503,1000,143.630569
219.051966,547,144.117866
115.17617,974,146.715467
132.722139,725,147.440636
180.335969,691,149.499485
215.784016,531,149.991657
-35.224096,400,150.350556
142.170367,875,151.138036
97.733853,967,153.314454
-33.675344,467,153.758352
191.498256,743,155.726449
160.837756,852,156.574082
181.199203,611,157.193601
-77.544776,591,159.082862
-56.864297,452,159.517637
171.500012,674,160.117807
176.018368,665,160.721432
186.462065,579,162.594527
163.690151,628,163.367589
181.720899,584,164.011484
179.067,584,166.495733
189.535531,641,167.241841
164.761491,698,167.865841
169.722992,620,170.587322
189.391572,673,171.104929
175.026488,512,171.505379
204.736771,567,172.018814
-35.410638,534,173.623498
166.344693,749,174.268249
-64.208385,500,174.694889
184.73127,566,176.36854
230.050367,493,176.766673
240.426322,500,177.135369
204.619802,571,177.651842
182.484855,568,179.220329
174.383771,638,179.656432
-66.067937,469,180.256017
225.276917,491,180.794337
199.626653,542,182.593615
-63.251428,455,182.99823
212.38208,488,183.408845
101.212042,594,183.885619
171.149342,573,185.462727
179.026875,564,185.913725
191.149904,479,186.283609
196.320099,554,186.720036
225.179508,532,188.330755
219.092809,611,188.802869
235.650708,483,189.180344
-38.718645,434,189.578096
-41.782311,451,191.18607
192.351723,468,191.508674
-52.656309,456,191.872637
219.675343,507,192.30703
-28.396553,409,193.855265
211.492804,542,194.297937
198.59135,499,194.740852
217.27499,526,195.261858
-46.870955,452,197.294101
196.484601,478,197.800345
219.223214,507,198.32983
243.951744,594,198.938827
212.289634,483,201.241906
227.696514,576,201.93773
197.214428,485,202.439036
173.74138,608,203.052888
234.3451,471,204.746784
169.740353,601,205.225375
-70.577504,529,205.74033
196.209536,478,206.187657
195.54977,643,208.068184
178.157491,543,208.612104
89.321248,1000,209.517334
271.217197,603,211.355525
214.768396,492,211.792341
197.484136,576,212.280916
216.081269,577,213.827852
214.524486,590,214.462381
210.551654,486,215.03241
163.368089,658,215.770883
187.157765,529,217.765279
187.333625,660,218.511774
205.748935,488,219.168659
190.222806,580,219.718947
196.702864,520,221.822519
219.267453,506,222.447718
180.881827,670,223.362201
195.622138,622,225.655904
241.804381,679,226.372926
193.533505,511,226.911639
204.330098,530,227.470308
-39.435672,577,229.607753
184.974936,564,230.16834
-80.814958,559,230.766688
208.456588,524,232.578088
-74.239171,486,233.010203
178.15854,632,233.608664
203.462085,497,234.018438
179.86991,557,235.568531
-68.230037,514,235.996714
198.283159,588,236.461882
201.619761,588,236.913728
175.33743,598,238.567754
-90.499791,390,238.888642
151.255566,756,239.528214
-91.698297,480,241.019008
116.241263,777,241.522321
168.482127,498,241.914822
167.147922,621,242.366918
-66.664271,408,243.63993
150.840582,646,244.07554
-102.035885,502,244.404346
157.736732,514,244.751046
